Weight,E_grid_home,E_back_feed
1000,32.01641576219964,30.401078997269607
1500,32.01641797914798,30.400993587954083
2000,32.01644395965059,30.40113574855056
2500,32.016390717911534,30.40108609614636
3000,32.01638316488258,30.401087090106405
3500,32.01638081635676,30.40108745786935
4000,32.016438212627484,30.40111484817362
4500,32.016420431992344,30.40111054922072
5000,32.01637688630594,30.401009768457577
5500,32.01643137836703,30.401114858427064
6000,32.016484040913,30.4010010453896
6500,32.01641653781189,30.40099428424329
7000,32.016417197439345,30.40099397595139
7500,32.016415836134534,30.40099460332829
8000,32.01630250145111,30.40098663224485
8500,32.01643843763853,30.401105080639223
9000,32.01639653352154,30.40100131898204
9500,32.01637756199604,30.40093286367256
10000,32.01641540819562,30.400994806424247
