Weight,E_grid_home,E_back_feed
900,32.666451599255176,30.172457924867384
905,32.61909399251134,30.191714921523005
910,32.65403560496628,30.177584417439785
915,32.73267104780289,30.14508783862345
920,32.64294426133748,30.182427613650948
925,32.67267726688002,30.170093886748333
930,32.66124606775956,30.174654549085904
935,32.61846063368412,30.19271734988789
940,32.690857999184814,30.16244425883436
945,32.61758892913023,30.192234399260723
950,32.635689850588534,30.184933230744512
955,32.640003380764256,30.18326064903395
960,32.61795600051797,30.19211853889311
965,32.619492797648455,30.191472459998565
970,32.6378551744656,30.18407083198224
975,32.60929101679413,30.195520124959845
980,32.61740358675814,30.192302841805343
985,32.53774386781476,30.223693073160067
990,32.554965043920205,30.21698144742136
995,32.564991969243714,30.21303620165952
1000,32.58847063203404,30.203810815422965
