Weight,E_grid_home,E_back_feed
8000,32.01630250145111,30.40098663224485
8000,31.917311939098614,30.831476055767297
8000,31.73865886345836,31.62785713578746
8000,35.52875070319847,31.58674477546619
8000,35.52875070319847,31.58674477546619
8000,35.337674527915226,31.580480544999737
8000,31.30321705191757,30.68516265589418
8000,30.513928753525903,31.43825377272244
8000,28.65361219264061,21.546127221255745
8000,35.52875070319847,31.58674477546619
8000,34.92091055194051,31.48046412482777
8000,31.9359562058569,31.355678696027447
8000,31.935951876521543,30.75327136177838
8000,35.52875070319847,31.58674477546619
8000,35.52875070319847,31.58674477546619
8000,35.52875070319847,31.58674477546619
8000,35.337674527915226,31.580480544999737
8000,34.92091055194051,31.48046412482777
8000,35.33766876242098,31.58048896260042
8000,35.52875070319847,31.58674477546619
8000,33.16239993073463,31.49503641077993
8000,31.997680051101653,31.370265269367955
8000,35.52875070319847,31.58674477546619
8000,32.39752094727548,31.2805372261953
8000,35.52875070319847,31.58674477546619
8000,31.99883631824476,31.27942007833896
8000,29.04228222119716,31.279419990289007
8000,29.042282221197162,31.279419990289007
